Province,Centre,Census Subdivision,Singles,Semis,Row,Apartment and Other,Total
Sask.,Lloydminster,Lashburn (T),0,0,0,0,0
Sask.,Lloydminster,Marshall (T),0,0,0,0,0
Sask.,Lloydminster,Lloydminster (Sask Part) (CY),4,4,20,0,28
Sask.,Lloydminster,Total,6,4,20,0,30
Sask.,Moose Jaw,Moose Jaw No. 161 (RM),2,0,0,0,2
Sask.,Moose Jaw,Moose Jaw (CY),23,0,0,0,23
Sask.,Moose Jaw,Total,25,0,0,0,25
Sask.,North Battleford,Battleford (T),10,0,4,0,14
Sask.,North Battleford,North Battleford (CY),0,0,0,0,0
Sask.,North Battleford,North Battleford No. 437 (RM),2,0,0,0,2
Sask.,North Battleford,North Battleford (CN),0,0,0,54,54
Sask.,North Battleford,Total,12,0,4,54,70
Sask.,Prince Albert,Prince Albert No. 461 (RM),8,0,0,0,8
Sask.,Prince Albert,Prince Albert (CY),4,4,0,0,8
Sask.,Prince Albert,Garden River No. 490 (RM),5,0,0,0,5
Sask.,Prince Albert,Albertville (VL),0,0,0,0,0
Sask.,Prince Albert,Meath Park (VL),0,0,0,0,0
Sask.,Prince Albert,Buckland No. 491 (RM),7,0,0,0,7
Sask.,Prince Albert,First Nations (Prince Albert) (R),0,0,0,0,0
Sask.,Prince Albert,Total,24,4,0,0,28
Sask.,Swift Current,Swift Current No. 137 (RM),0,0,0,0,0
Sask.,Swift Current,Swift Current (CY),3,0,0,0,3
Sask.,Swift Current,Total,3,0,0,0,3
Sask.,Weyburn,Weyburn (CY),4,0,0,0,4
Sask.,Weyburn,Total,4,0,0,0,4
Sask.,Yorkton,Orkney No. 244 (RM),0,0,0,0,0
Sask.,Yorkton,Yorkton (CY),1,2,0,0,3
Sask.,Yorkton,Ebenezer (VL),0,0,0,0,0
Sask.,Yorkton,Springside (T),0,0,0,0,0
Sask.,Yorkton,Total,1,2,0,0,3
Sask.,Total,Total,1313,156,455,1849,3773
